ISSN;Título;Estrato;Hindex5;Hindex SJR;JIF;5 JIF;Eigenfactor;Article influence;
1806-9584;ESTUDOS FEMINISTAS;A1;17;10;0;0;0;0;
1676-2592;ETD. EDUCAÇÃO TEMÁTICA DIGITAL;A1;0;0;0;0;0;0;
1676-2592;ETD: EDUCAÇÃO TEMÁTICA DIGITAL;A1;0;0;0;0;0;0;
1474-9041;EUROPEAN EDUCATIONAL RESEARCH JOURNAL;A1;19;20;0;0;0;0;
0954-0253;GENDER AND EDUCATION (PRINT);A1;26;50;0.639;0.931;0.00131;0.349;
1678-4758;HISTÓRIA. CIÊNCIAS. SAÚDE (ONLINE);A1;11;0;0;0;0;0;
0104-5970;HISTÓRIA. CIÊNCIAS. SAÚDE-MANGUINHOS (IMPRESSO);A1;11;14;0;0;0;0;
2236-3459;HISTÓRIA DA EDUCAÇÃO;A1;5;2;0;0;0;0;
1414-3518;HISTÓRIA DA EDUCAÇÃO (UFPEL);A1;5;2;0;0;0;0;
1971-1131;HISTORY OF EDUCATION & CHILDREN'S LITERATURE (ONLINE);A1;5;4;0;0;0;0;
1971-1093;HISTORY OF EDUCATION & CHILDREN'S LITERATURE (TESTO STAMPATO);A1;5;4;0;0;0;0;
0046-760X;HISTORY OF EDUCATION (TAVISTOCK);A1;9;13;0.333;0.427;0.007;0.252;
0883-0355;INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH;A1;28;48;0.93;0;0.00163;0;
1029-5968;INTERNATIONAL JOURNAL OF SCIENCE EDUCATION;A1;38;0;1.24;1.817;0.00464;0.532;
0021-8251;JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION;A1;28;61;1.906;2.292;0.00106;0.83;
0021-8855;JOURNAL OF APPLIED BEHAVIOR ANALYSIS;A1;27;64;0.914;1.354;0.00183;0.287;
0022-0272;JOURNAL OF CURRICULUM STUDIES (PRINT);A1;24;43;1.079;1.595;0.00107;0.379;
0268-0939;JOURNAL OF EDUCATION POLICY;A1;35;55;2.313;2.574;0.00222;0.713;
2448-2455;JOURNAL OF PHYSICAL EDUCATION (ONLINE);A1;10;0;0;0;0;0;
0022-4308;JOURNAL OF RESEARCH IN SCIENCE TEACHING (PRINT);A1;41;99;3.179;4.204;0.00482;1.312;
1029-5968;JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR;A1;21;0;1.634;1.98;0.00256;0.71;
1029-5968;JOURNAL OF YOUTH STUDIES;A1;30;0;1.44;1.589;0.0024;0.477;
0898-5898;LINGUISTICS AND EDUCATION;A1;21;32;0.833;0;0.00096;0;
1074-9039;MIND. CULTURE AND ACTIVITY;A1;19;39;1.114;1.54;0.00062;0.43;
0030-9273;PADAGOGISCHE RUNDSCHAU;A1;0;0;0;0;0;0;
0103-863X;PAIDEIA (RIBEIRAO PRETO);A1;13;6;0;0;0;0;
1982-4327;PAIDÉIA (USP. ONLINE);A1;13;6;0;0;0;0;
0103-863X;PAIDÉIA (USP. RIBEIRAO PRETO. IMPRESSO);A1;0;6;0;0;0;0;
0103-7307;PRO-POSIÇÕES (UNICAMP);A1;6;0;0;0;0;0;
0103-7307;PRO-POSIÇÕES (UNICAMP. IMPRESSO);A1;6;0;0;0;0;0;
0103-7307;PRÓ-POSIÇÕES (UNICAMP. IMPRESSO);A1;6;0;0;0;0;0;
1980-6248;PRÓ-POSIÇÕES (UNICAMP. ONLINE);A1;6;0;0;0;0;0;
1678-7153;PSICOLOGIA: REFLEXÃO E CRÍTICA;A1;19;14;0.283;0.287;0.00043;0.066;
0102-7972;PSICOLOGIA: REFLEXÃO E CRÍTICA (UFRGS. IMPRESSO);A1;19;14;0.283;0.287;0.00043;0.066;
1806-3446;PSICOLOGIA: TEORIA E PESQUISA (BRASÍLIA. ONLINE);A1;16;0;0;0;0;0;
0102-3772;PSICOLOGIA: TEORIA E PESQUISA (UNB. IMPRESSO);A1;16;14;0;0;0;0;
0157-244X;RESEARCH IN SCIENCE EDUCATION;A1;30;37;1.329;1.45;0.00183;0.44;
0276-5624;RESEARCH IN SOCIAL STRATIFICATION AND MOBILITY;A1;24;21;1.033;1.623;0.00217;1.032;
0267-1522;RESEARCH PAPERS IN EDUCATION;A1;20;13;1.033;1.107;0.00082;0.382;
0102-6909;REVISTA BRASILEIRA DE CIÊNCIAS SOCIAIS (IMPRESSO);A1;13;9;0;0;0;0;
1806-9053;REVISTA BRASILEIRA DE CIÊNCIAS SOCIAIS (ONLINE);A1;13;0;0;0;0;0;
1413-2478;REVISTA BRASILEIRA DE EDUCAÇÃO;A1;17;7;0;0;0;0;
1413-2478;REVISTA BRASILEIRA DE EDUCAÇÃO;A1;17;7;0;0;0;0;
1809-449X;REVISTA BRASILEIRA DE EDUCAÇÃO;A1;17;7;0;0;0;0;
1413-2478;REVISTA BRASILEIRA DE EDUCAÇÃO (IMPRESSO);A1;17;7;0;0;0;0;
2237-2660;REVISTA BRASILEIRA DE ESTUDOS DA PRESENÇA;A1;5;0;0;0;0;0;
2237-2660;REVISTA BRASILEIRA DE ESTUDOS DA PRESENÇA [EPERIODICO];A1;5;0;0;0;0;0;
0102-0188;REVISTA BRASILEIRA DE HISTÓRIA;A1;5;5;0;0;0;0;
2238-0094;REVISTA BRASILEIRA DE HISTÓRIA DA EDUCAÇÃO;A1;8;0;0;0;0;0;
1519-5902;REVISTA BRASILEIRA DE HISTÓRIA DA EDUCAÇÃO;A1;8;0;0;0;0;0;
1519-5902;REVISTA BRASILEIRA DE HISTÓRIA DA EDUCAÇÃO;A1;8;0;0;0;0;0;
1806-9347;REVISTA BRASILEIRA DE HISTÓRIA (ONLINE);A1;5;0;0;0;0;0;
0102-2555;REVISTA DA FACULDADE DE EDUCAÇÃO (UNIVERSIDADE DE SÃO PAULO. IMPRESSO);A1;0;0;0;0;0;0;
1806-9584;REVISTA ESTUDOS FEMINISTAS;A1;17;10;0;0;0;0;
0120-0534;REVISTA LATINOAMERICANA DE PSICOLOGIA;A1;19;16;0.717;0.663;0.00045;0.196;
1646-401X;REVISTA LUSOFONA DE EDUCACAO;A1;11;5;0;0;0;0;
1645-7250;REVISTA LUSÓFONA DE EDUCAÇÃO;A1;11;5;0.027;0;0.00002;0;
0871-9187;REVISTA PORTUGUESA DE EDUCAÇÃO;A1;10;0;0;0;0;0;
0926-7220;SCIENCE & EDUCATION (DORDRECHT);A1;27;33;0.823;0.989;0.00156;0.309;
2045-2322;SCIENTIFIC REPORTS;A1;131;104;4.259;4.847;0.38761;1.482;
1517-4522;SOCIOLOGIAS (UFRGS. IMPRESSO);A1;12;11;0;0;0;0;
1980-542X;TEMPO (NITERÓI. ONLINE);A1;5;3;0;0;0;0;
1413-7704;TEMPO. REVISTA DO DEPARTAMENTO DE HISTÓRIA DA UFF;A1;0;3;0;0;0;0;
0033-2933;THE PSYCHOLOGICAL RECORD;A1;17;36;0.702;1.135;0.00095;0.247;
0123-9155;ACTA COLOMBIANA DE PSICOLOGIA;A2;10;7;0;0;0;0;
2178-5198;ACTA SCIENTIARUM. EDUCATION;A2;6;0;0;0;0;0;
2178-5201;ACTA SCIENTIARUM. EDUCATION (ONLINE);A2;0;0;0;0;0;0;
2178-5198;ACTA SCIENTIARUM. EDUCATION (PRINT);A2;6;0;0;0;0;0;
0965-9978;ADVANCES IN ENGINEERING SOFTWARE;A2;34;56;3;2.539;0.00585;0.691;
1382-4996;ADVANCES IN HEALTH SCIENCES EDUCATION;A2;32;48;1.852;2.564;0.00417;1.027;
1680-8584;AEROSOL AND AIR QUALITY RESEARCH;A2;32;34;2.606;2.754;0.00634;0.541;
0002-5216;ALFA: REVISTA DE LINGUÍSTICA (UNESP. IMPRESSO);A2;9;0;0;0;0;0;
1981-5794;ALFA: REVISTA DE LINGUÍSTICA (UNESP. ONLINE);A2;0;0;0;0;0;0;
2236-4633;ALMANACK;A2;5;0;0;0;0;0;
0044-7447;AMBIO (OSLO);A2;40;96;3.687;3.822;0.00845;1.157;
1130-2887;AMÉRICA LATINA HOY;A2;12;4;0;0;0;0;
0002-726X;AMERICAN ANNALS OF THE DEAF (WASHINGTON. D.C. 1886. PRINT);A2;0;34;1.024;0.914;0.00035;0.209;
1059-0889;AMERICAN JOURNAL OF AUDIOLOGY (PRINT);A2;19;34;1.076;1.471;0.00169;0.52;
0167-4943;ARCHIVES OF GERONTOLOGY AND GERIATRICS;A2;43;54;2.086;2.155;0.00881;0.609;
0066-782X;ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO);A2;26;35;1.186;1.234;0.0031;0.274;
1948-1985;ASIAN AMERICAN JOURNAL OF PSYCHOLOGY;A2;21;17;1.528;1.771;0.00111;0.535;
0969-594X;ASSESSMENT IN EDUCATION;A2;17;14;0;0;0;0;
1863-8171;ASTA. ADVANCES IN STATISTICAL ANALYSIS (PRINT);A2;12;17;0.868;1.37;0.00132;0.914;
1578-8946;ATHENEA DIGITAL;A2;12;5;0;0;0;0;
0210-6124;ATLANTIS. REVISTA DE LA ASOCIACIÓN ESPAÑOLA DE ESTUDIOS ANGLO-NORTEAMERICANOS;A2;6;6;0.158;0.195;0.00008;0.067;
2073-4433;ATMOSPHERE;A2;17;16;1.487;1.793;0.00181;0.52;
1982-6672;AURORA (PUCSP. ONLINE);A2;2;0;0;0;0;0;
2151-7290;AUTO/BIOGRAPHY STUDIES;A2;5;1;0;0;0;0;
1794-4724;AVANCES EN PSICOLOGIA LATINOAMERICANA;A2;12;6;0;0;0;0;
1471-2318;BMC GERIATRICS (ONLINE);A2;36;46;2.611;2.961;0.00826;0.925;
1471-2458;BMC PUBLIC HEALTH (ONLINE);A2;77;93;2.265;2.814;0.08153;0.931;
1472-6874;BMC WOMEN'S HEALTH (ONLINE);A2;25;34;1.572;1.791;0.00352;0.58;
0210-5934;BORDON: REVISTA DE PEDAGOGIA;A2;0;4;0;0;0;0;
1807-3107;BRAZILIAN ORAL RESEARCH;A2;25;31;0;0;0;0;
0141-1926;BRITISH EDUCATIONAL RESEARCH JOURNAL (PRINT);A2;29;66;1.214;1.805;0.00225;0.595;
0264-6196;BRITISH JOURNAL OF VISUAL IMPAIRMENT;A2;12;6;0;0;0;0;
0102-5767;CADERNOS DE ESTUDOS LINGUÍSTICOS (UNICAMP);A2;8;0;0;0;0;0;
1982-7806;CADERNOS DE HISTÓRIA DA EDUCAÇÃO (ONLINE);A2;0;0;0;0;0;0;
1982-7806;CADERNOS DE HISTÓRIA DA EDUCAÇÃO (ONLINE);A2;0;0;0;0;0;0;
1807-3859;CADERNOS DE HISTÓRIA DA EDUCAÇÃO (UFU. IMPRESSO);A2;0;0;0;0;0;0;
2178-2229;CADERNOS DE PESQUISA;A2;16;0;0;0;0;0;
2357-8130;CADERNOS DE PESQUISA;A2;16;0;0;0;0;0;
2178-2229;CADERNOS DE PESQUISA - UNIVERSIDADE FEDERAL DO MARANHÃO;A2;0;0;0;0;0;0;
0102-4175;CADERNOS DE PESQUISA (UFMA);A2;0;0;0;0;0;0;
1809-4449;CADERNOS PAGU;A2;4;0;0;0;0;0;
0104-8333;CADERNOS PAGU (UNICAMP);A2;0;6;0;0;0;0;
0104-8333;CADERNOS PAGU (UNICAMP. IMPRESSO);A2;0;6;0;0;0;0;
0305-764X;CAMBRIDGE JOURNAL OF EDUCATION (PRINT);A2;21;30;0.982;1.407;0.00082;0.391;
0251-2920;CEPAL REVIEW (PRINT);A2;7;7;0.233;0.447;0.00027;0.12;
0145-2134;CHILD ABUSE & NEGLECT;A2;46;114;2.293;2.999;0.00946;0.91;
1475-357X;CHILD AND ADOLESCENT MENTAL HEALTH (PRINT);A2;25;30;1.597;1.807;0.00144;0.585;
0305-1862;CHILD CARE HEALTH AND DEVELOPMENT (PRINT);A2;35;65;1.445;2.068;0.00504;0.663;
0907-5682;CHILDHOOD (COPENHAGEN);A2;22;46;0.985;1.494;0.00126;0.514;
1413-8123;CIÊNCIA & SAÚDE COLETIVA (ONLINE);A2;46;34;0.78;0.931;0.0047;0.18;
0009-6725;CIÊNCIA E CULTURA;A2;7;8;0;0;0;0;
1413-8123;CIÊNCIA E SAÚDE COLETIVA (IMPRESSO);A2;0;34;0.78;0.931;0.00469;0.18;
1413-8123;CIÊNCIA E SAÚDE COLETIVA (IMPRESSO);A2;0;34;0.78;0.931;0.00469;0.18;
1519-6089;CIVITAS - REVISTA DE CIÊNCIAS SOCIAIS (IMPRESSO);A2;9;0;0;0;0;0;
1984-7289;CIVITAS - REVISTA DE CIÊNCIAS SOCIAIS (ONLINE);A2;0;0;0;0;0;0;
1984-7289;CIVITAS - REVISTA DE CIÊNCIAS SOCIAIS (ONLINE);A2;0;0;0;0;0;0;
1618-9558;CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY (INTERNET);A2;31;0;3.331;3.019;0.00319;0.359;
0392-856X;CLINICAL AND EXPERIMENTAL RHEUMATOLOGY (TESTO STAMPATO);A2;36;81;2.634;2.357;0.01176;0.637;
1532-4141;COMMUNICATIONS IN STATISTICS. SIMULATION AND COMPUTATION.;A2;16;34;0.457;0.491;0.0027;0.259;
0147-9571;COMPARATIVE IMMUNOLOGY. MICROBIOLOGY AND INFECTIOUS DISEASES;A2;24;44;1.875;2.004;0.00239;0.591;
0167-9473;COMPUTATIONAL STATISTICS & DATA ANALYSIS (PRINT);A2;43;78;1.693;1.832;0.02306;1.208;
0360-1315;COMPUTERS AND EDUCATION;A2;0;125;3.819;5.047;0.01601;0.922;
0747-5632;COMPUTERS IN HUMAN BEHAVIOR;A2;95;111;3.435;4.252;0.02437;0.788;
2175-7755;COMUNICAÇÃO & SOCIEDADE (METODISTA);A2;4;0;0;0;0;0;
0101-2657;COMUNICAÇÃO & SOCIEDADE (METODISTA);A2;4;0;0;0;0;0;
1871-1510;CULTURAL STUDIES OF SCIENCE EDUCATION (ON LINE);A2;20;0;0;0;0;0;
1871-1502;CULTURAL STUDIES OF SCIENCE EDUCATION (PRINT);A2;20;19;0;0;0;0;
1645-1384;CURRÍCULO SEM FRONTEIRAS;A2;0;3;0;0;0;0;
0392-1921;DIOGENES (ENGLISH ED.);A2;3;13;0;0;0;0;
0159-6306;DISCOURSE (ABINGDON. PRINT);A2;0;28;1.496;1.5;0.00184;0.487;
0300-4430;EARLY CHILD DEVELOPMENT AND CARE;A2;24;31;0;0;0;0;
1476-8275;EARLY CHILD DEVELOPMENT AND CARE;A2;24;31;0;0;0;0;
1082-3301;EARLY CHILDHOOD EDUCATION JOURNAL;A2;27;28;0;0;0;0;
1517-1949;ECCOS. REVISTA CIENTÍFICA;A2;5;0;0;0;0;0;
1517-1949;ECCOS REVISTA CIENTÍFICA (IMPRESSO);A2;5;0;0;0;0;0;
1983-9278;ECCOS REVISTA CIENTÍFICA (ONLINE);A2;0;0;0;0;0;0;
2238-1279;EDUCAÇÃO E CULTURA CONTEMPORÂNEA;A2;5;0;0;0;0;0;
1807-2194;EDUCAÇÃO E CULTURA CONTEMPORÂNEA;A2;5;0;0;0;0;0;
2238-1279;EDUCAÇÃO E CULTURA CONTEMPORÂNEA (ON LINE);A2;0;0;0;0;0;0;
2238-1279;EDUCAÇÃO E CULTURA CONTEMPORÂNEA (ONLINE);A2;0;0;0;0;0;0;
1982-596X;EDUCAÇÃO E FILOSOFIA (ONLINE);A2;0;0;0;0;0;0;
0102-6801;EDUCAÇÃO E FILOSOFIA (UFU. IMPRESSO);A2;0;0;0;0;0;0;
0102-7735;EDUCAÇÃO EM QUESTÃO;A2;6;0;0;0;0;0;
0101-465X;EDUCAÇÃO (PORTO ALEGRE);A2;0;0;0;0;0;0;
1981-2582;EDUCAÇÃO (PUCRS);A2;0;0;0;0;0;0;
1981-2582;EDUCAÇÃO (PUCRS);A2;0;0;0;0;0;0;
1981-2582;EDUCAÇÃO (PUCRS);A2;0;0;0;0;0;0;
1519-387X;EDUCAÇÃO UNISINOS;A2;6;0;0;0;0;0;
2177-6210;EDUCAÇÃO UNISINOS (ONLINE);A2;6;0;0;0;0;0;
0013-1857;EDUCATIONAL PHILOSOPHY AND THEORY (PRINT);A2;24;22;0.566;0.851;0.00169;0.26;
0264-0473;ELECTRONIC LIBRARY;A2;20;29;0.484;0.607;0.00043;0.109;
0013-5194;ELECTRONICS LETTERS;A2;42;129;1.155;1.119;0.02355;0.345;
1415-2150;ENSAIO. PESQUISA EM EDUCAÇÃO EM CIÊNCIAS;A2;9;0;0;0;0;0;
1415-2150;ENSAIO: PESQUISA EM EDUCAÇÃO EM CIÊNCIAS (IMPRESSO);A2;9;0;0;0;0;0;
1983-2117;ENSAIO: PESQUISA EM EDUCAÇÃO EM CIÊNCIAS (ONLINE);A2;0;0;0;0;0;0;
2178-1567;ENSINO SUPERIOR UNICAMP;A2;0;0;0;0;0;0;
1350-4622;ENVIRON EDUC RES;A2;0;24;1.709;2.229;0.00142;0.402;
1469-4395;ENVIRONMENT AND DEVELOPMENT ECONOMICS (ONLINE);A2;0;48;0.932;1.277;0.00141;0.554;
1355-770X;ENVIRONMENT AND DEVELOPMENT ECONOMICS (PRINT);A2;20;48;0.932;1.277;0.00141;0.554;
1469-5871;ENVIRONMENTAL EDUCATION RESEARCH (ONLINE);A2;34;24;1.709;2.229;0.00142;0.402;
0364-152X;ENVIRONMENTAL MANAGEMENT (NEW YORK);A2;34;91;1.878;2.206;0.00841;0.587;
0185-2620;ESTUDIOS DE HISTORIA MODERNA Y CONTEMPORÁNEA DE MÉXICO;A2;3;3;0;0;0;0;
0210-9395;ESTUDIOS DE PSICOLOGÍA (ED. IMPRESA);A2;14;8;0.281;0.305;0.00019;0.088;
0185-4186;ESTUDIOS SOCIOLÓGICOS;A2;8;2;0;0;0;0;
2178-1567;ESTUDO SUPERIOR UNICAMP;A2;0;0;0;0;0;0;
1806-9592;ESTUDOS AVANÇADOS (ONLINE);A2;0;0;0;0;0;0;
0103-4014;ESTUDOS AVANÇADOS (USP. IMPRESSO);A2;19;15;0;0;0;0;
1806-9592;ESTUDOS AVANÇADOS (USP.IMPRESSO);A2;0;0;0;0;0;0;
2316-4018;ESTUDOS DE LITERATURA BRASILEIRA CONTEMPORÂNEA;A2;6;0;0;0;0;0;
1518-0158;ESTUDOS DE LITERATURA BRASILEIRA CONTEMPORÂNEA;A2;6;0;0;0;0;0;
1982-0275;ESTUDOS DE PSICOLOGIA;A2;14;2;0;0;0;0;
1678-4669;ESTUDOS DE PSICOLOGIA (NATAL. ONLINE);A2;14;0;0;0;0;0;
0103-166X;ESTUDOS DE PSICOLOGIA (PUCCAMP. IMPRESSO);A2;0;2;0;0;0;0;
1413-294X;ESTUDOS DE PSICOLOGIA (UFRN);A2;0;8;0;0;0;0;
1984-932X;ESTUDOS EM AVALIAÇÃO EDUCACIONAL;A2;10;0;0;0;0;0;
1984-932X;ESTUDOS EM AVALIAÇÃO EDUCACIONAL;A2;10;0;0;0;0;0;
0103-6831;ESTUDOS EM AVALIAÇÃO EDUCACIONAL (IMPRESSO);A2;10;0;0;0;0;0;
1984-932X;ESTUDOS EM AVALIAÇÃO EDUCACIONAL (ONLINE);A2;0;0;0;0;0;0;
1980-864X;ESTUDOS IBERO-AMERICANOS;A2;5;4;0;0;0;0;
0101-4064;ESTUDOS IBERO-AMERICANOS (PUCRS. IMPRESSO);A2;5;4;0;0;0;0;
0014-2182;ETUDES RURALES;A2;8;7;0;0;0;0;
1350-293X;EUR EARLY CHILD EDUC;A2;0;17;0.792;1.01;0.00057;0.193;
1305-8215;EURASIA JOURNAL OF MATHEMATICS. SCIENCE AND TECHNOLOGY EDUCATION;A2;0;21;0.903;0;0.00047;0;
0717-6236;EURE (SANTIAGO. EN LÍNEA);A2;16;17;0.493;0.85;0.00032;0.149;
0250-7161;EURE (SANTIAGO. IMPRESA);A2;16;17;0.493;0.85;0.00032;0.149;
1018-8827;EUROPEAN CHILD & ADOLESCENT PSYCHIATRY;A2;41;75;3.295;3.799;0.00739;1.186;
1121-760X;EUROPEAN JOURNAL OF HISTOCHEMISTRY;A2;18;34;2.306;1.855;0.00129;0.381;
1876-3820;EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE;A2;15;15;0.801;0.834;0.00084;0.18;
0940-6719;EUROPEAN SPINE JOURNAL;A2;52;105;2.563;2.937;0.02323;0.812;
0957-4174;EXPERT SYSTEMS WITH APPLICATIONS;A2;92;131;3.928;3.526;0.05488;0.719;
1980-5934;FILOSOFIA AURORA;A2;2;1;0;0;0;0;
1071-5797;FINITE FIELDS AND THEIR APPLICATIONS (PRINT);A2;23;33;0.813;0.874;0.00315;0.574;
0378-1127;FOREST ECOLOGY AND MANAGEMENT;A2;56;140;3.064;3.387;0.03239;0.855;
1984-0292;FRACTAL: REVISTA DE PSICOLOGIA;A2;10;0;0;0;0;0;
2238-8869;FRONTEIRAS: JOURNAL OF SOCIAL. TECHNOLOGICAL AND ENVIRONMENTAL SCIENCE;A2;3;0;0;0;0;0;
2238-8869;FRONTEIRAS: JOURNAL OF SOCIAL. TECHNOLOGICAL AND ENVIRONMENTAL SCIENCE;A2;3;0;0;0;0;0;
1476-7724;GLOBALISATION. SOCIETIES AND EDUCATION (PRINT);A2;16;14;0;0;0;0;
0018-2133;HISPANIA (UNIVERSITY. MISS);A2;9;5;0.147;0.229;0.00011;0.032;
2238-3018;HISTÓRIA & ENSINO;A2;4;0;0;0;0;0;
1414-3488;HISTÓRIA & ENSINO (UEL);A2;4;0;0;0;0;0;
2238-3018;HISTÓRIA E ENSINO;A2;0;0;0;0;0;0;
1093-4510;HISTORY OF PSYCHOLOGY;A2;13;17;1;0.839;0.00065;0.383;
1939-0610;HISTORY OF PSYCHOLOGY (ONLINE);A2;13;0;1;0.839;0.00065;0.383;
